Day;Commits;Lines added;Lines removed;Unique Contributors
31/03/15;66;2124;1899;31
30/03/15;28;1464;650;17
29/03/15;2;950;173;2
28/03/15;5;136;127;4
27/03/15;33;1765;759;18
26/03/15;59;805;298;22
25/03/15;53;3205;1115;27
24/03/15;51;3459;2326;30
23/03/15;40;4446;1128;18
22/03/15;4;41;22;3
21/03/15;9;19;20;7
20/03/15;40;2198;265;23
19/03/15;50;4123;4613;28
18/03/15;49;904;509;30
17/03/15;48;599;510;31
16/03/15;37;930;364;20
14/03/15;4;53;53;2
13/03/15;31;4969;5087;19
12/03/15;48;792;27630;26
11/03/15;50;5855;1427;29
10/03/15;55;2967;1021;25
09/03/15;34;2965;589;21
08/03/15;7;41;30;4
07/03/15;4;69;15;4
06/03/15;41;5272;2171;18
05/03/15;39;1151;390;20
04/03/15;49;4353;2379;29
03/03/15;52;9203;6034;26
02/03/15;47;807;1634;21
01/03/15;7;39;19;4
28/02/15;11;1617;1431;7
27/02/15;32;749;245;16
26/02/15;59;87480;1310;28
25/02/15;58;1486;15834;29
24/02/15;74;6286;13746;34
23/02/15;38;1037;475;15
22/02/15;5;450;80;3
21/02/15;9;8;12;8
20/02/15;35;3221;1480;17
19/02/15;28;625;230;21
18/02/15;30;924;727;13
17/02/15;42;2416;418;21
16/02/15;33;1718;1171;17
15/02/15;7;19;2;5
14/02/15;13;1769;731;8
13/02/15;29;3971;6520;22
12/02/15;47;6689;3528;29
11/02/15;44;1064;834;25
10/02/15;73;4010;1388;40
09/02/15;64;1444;844;37
08/02/15;9;23;25;5
07/02/15;10;1717;231;7
06/02/15;44;1331;624;29
05/02/15;92;2414;11340;39
04/02/15;78;9326;3522;43
03/02/15;38;1428;318;24
02/02/15;54;7885;1696;33
01/02/15;4;6;204;3
31/01/15;6;28;70;6
30/01/15;47;918;242;31
29/01/15;55;3168;1630;35
28/01/15;71;8398;2105;44
27/01/15;44;5682;1797;30
26/01/15;40;16394;1619;26
25/01/15;5;10;4;4
24/01/15;10;439;129;10
23/01/15;59;5191;2578;36
22/01/15;44;973;427;33
21/01/15;67;6587;4383;39
20/01/15;49;1824;1588;32
19/01/15;34;9725;10105;17
18/01/15;1;0;0;1
17/01/15;2;0;0;2
16/01/15;46;2991;1023;33
15/01/15;89;6667;3105;46
14/01/15;27;85;61;19
13/01/15;23;197;60;18
12/01/15;34;844;510;22
11/01/15;17;180;70;9
10/01/15;7;392;98;7
09/01/15;59;5802;4191;34
08/01/15;57;1063;193;33
07/01/15;50;3005;548;28
06/01/15;56;1089;817;34
05/01/15;32;1307;1414;20
04/01/15;3;23;33;2
03/01/15;3;69;27;2
02/01/15;10;15;10;7
01/01/15;4;138;78;3
31/12/14;21;732;216;17
30/12/14;25;1598;1269;17
29/12/14;24;922;776;18
28/12/14;1;0;0;1
27/12/14;2;111;1;2
26/12/14;6;173;209;6
25/12/14;21;5416;4727;12
24/12/14;24;821;483;14
23/12/14;33;3886;1274;21
22/12/14;42;1843;2531;26
21/12/14;1;2;2;1
20/12/14;3;0;0;3
19/12/14;63;2192;2628;37
18/12/14;38;1675;1395;23
17/12/14;38;1837;2188;26
16/12/14;47;2132;1179;28
15/12/14;53;1984;1286;33
14/12/14;4;8;111;3
13/12/14;6;19;1;6
12/12/14;35;2672;1335;26
11/12/14;33;1310;421;23
10/12/14;22;1802;1385;20
09/12/14;30;343;42;15
08/12/14;14;148;145;14
06/12/14;6;297;45;5
05/12/14;32;1597;945;25
04/12/14;34;955;840;21
03/12/14;24;235;96;16
02/12/14;22;1340;221;14
01/12/14;13;127;69;10
30/11/14;3;0;0;2
29/11/14;5;982;397;3
28/11/14;31;3344;3344;22
27/11/14;51;2252;939;32
26/11/14;54;6840;1031;37
25/11/14;46;5283;4623;23
24/11/14;74;5041;1525;39
23/11/14;8;434;29;5
22/11/14;4;28;12;3
21/11/14;42;1592;872;30
20/11/14;47;3066;1392;28
19/11/14;51;8861;7400;28
18/11/14;67;4382;1779;40
17/11/14;60;2655;1673;37
16/11/14;1;0;0;1
15/11/14;4;21;8;4
14/11/14;46;2517;1200;31
13/11/14;49;8310;5683;33
12/11/14;53;2715;1380;39
11/11/14;38;2498;1774;29
10/11/14;51;11411;461;29
09/11/14;2;51;9;2
08/11/14;18;331;82;7
07/11/14;65;8504;5533;38
06/11/14;73;11457;6947;46
05/11/14;59;4135;3223;40
04/11/14;52;5476;4023;33
03/11/14;59;5159;4971;32
02/11/14;12;8276;8378;11
01/11/14;12;20;20;10
31/10/14;56;33809;12644;29
30/10/14;71;12976;11087;40
29/10/14;57;6759;2811;33
28/10/14;50;1993;552;32
27/10/14;49;36877;670;34
25/10/14;9;48;15;8
24/10/14;57;2941;1194;37
23/10/14;67;3659;1684;37
22/10/14;27;481;471;23
21/10/14;62;6567;3896;37
20/10/14;54;2611;2639;34
19/10/14;5;295;11;4
18/10/14;17;696;430;13
17/10/14;64;3605;781;36
16/10/14;31;1514;389;23
15/10/14;58;1480;383;30
14/10/14;67;201837;1688;45
13/10/14;46;1610;903;31
12/10/14;5;5;0;5
11/10/14;8;385;288;7
10/10/14;42;23544;28774;26
09/10/14;63;3533;777;36
08/10/14;93;259590;3380;52
07/10/14;56;2517;1267;36
06/10/14;78;26494;17046;45
05/10/14;7;2;4;7
04/10/14;13;273;178;8
03/10/14;57;18277;24778;37
02/10/14;55;25908;17001;32
01/10/14;75;18293;26731;44
30/09/14;65;3071;2767;37
29/09/14;42;10123;15066;32
28/09/14;7;9;12;6
27/09/14;12;368;178;8
26/09/14;63;3240;2165;40
25/09/14;59;122566;491;36
24/09/14;74;3284;1330;45
23/09/14;78;3423;1659;45
22/09/14;49;889;313;31
21/09/14;7;1;1;3
20/09/14;13;88;67;10
19/09/14;47;985;651;27
18/09/14;67;2213;1010;40
17/09/14;53;579;450;31
16/09/14;84;3085;1954;47
15/09/14;44;2416;2595;30
14/09/14;5;0;0;3
13/09/14;6;44;38;5
12/09/14;55;1471;820;34
11/09/14;70;1625;471;34
10/09/14;84;5284;3564;49
09/09/14;62;1447;720;47
08/09/14;42;763;542;25
07/09/14;8;8;3;6
06/09/14;10;5;4;6
05/09/14;47;1113;622;25
04/09/14;90;36595;34967;46
03/09/14;86;16749;6829;41
02/09/14;95;6630;5209;46
01/09/14;77;3246;1481;38
31/08/14;17;1648;429;8
30/08/14;33;5095;1898;12
29/08/14;114;74879;71619;48
28/08/14;85;5752;3052;49
27/08/14;84;6342;3511;39
26/08/14;80;2019;1351;37
25/08/14;50;3558;2639;35
24/08/14;5;7;34;5
23/08/14;12;413;33;9
22/08/14;110;6449;2586;43
21/08/14;77;5000;3903;47
20/08/14;53;2697;1986;33
