Month;Commits;Lines added;Lines removed;Unique Contributors
2015-03;1042;65704;63257;118
2015-02;1060;151113;68966;132
2015-01;1051;83204;38915;143
2014-12;717;36177;25820;124
2014-11;1137;115641;68708;145
2014-10;1399;698579;162472;162
2014-09;1501;231320;85979;162
2014-08;1649;564098;163910;179
2014-07;1571;97336;44629;172
2014-06;1953;95207;52199;161
2014-05;1397;117676;74816;150
2014-04;1356;248112;211322;152
2014-03;1373;139912;97712;150
2014-02;1231;11888136;11864080;153
2014-01;1280;17914322;17860654;152
2013-12;1039;4142439;2708954;143
2013-11;1344;315643;187441;154
2013-10;1103;12811632;12789663;143
2013-09;1114;119788;66575;134
2013-08;1061;2170748;267816;111
2013-07;752;227061;29523;101
